zipcode,metro,composite_score,letter_grade
15005,Pittsburgh,36.08843750833775,D
15006,Pittsburgh,39.05368692872254,D
15007,Pittsburgh,42.34539481928455,D
15014,Pittsburgh,33.44526068368035,F
15015,Pittsburgh,38.21571639023621,D
15017,Pittsburgh,44.645655190523,D
15018,Pittsburgh,37.34181634817644,D
15020,Pittsburgh,35.06916977461157,D
15024,Pittsburgh,38.89561518201257,D
15026,Pittsburgh,28.473518472858547,F
15030,Pittsburgh,36.23281629018787,D
15031,Pittsburgh,43.07911582751091,D
15034,Pittsburgh,33.03132650504937,F
15035,Pittsburgh,40.40657474864827,D
15037,Pittsburgh,37.578976731083635,D
15044,Pittsburgh,45.82059334745042,D
15045,Pittsburgh,33.30375088253649,F
15046,Pittsburgh,36.31055962445254,D
15047,Pittsburgh,35.803751061209695,D
15049,Pittsburgh,36.6626028420504,D
15051,Pittsburgh,37.45508044430745,D
15057,Pittsburgh,29.13826635151795,F
15063,Pittsburgh,30.285082125146847,F
15064,Pittsburgh,38.20631445106953,D
15065,Pittsburgh,43.935496731860695,D
15068,Pittsburgh,36.02015343849104,D
15071,Pittsburgh,38.54547098716946,D
15075,Pittsburgh,38.72872301874919,D
15076,Pittsburgh,39.32777774373348,D
15082,Pittsburgh,44.41277978829405,D
15083,Pittsburgh,28.376213892428016,F
15088,Pittsburgh,35.753554251390725,D
15089,Pittsburgh,32.411786318931576,F
15090,Pittsburgh,48.76010355754045,D
15101,Pittsburgh,44.42592294972801,D
15102,Pittsburgh,42.153126586134086,D
15104,Pittsburgh,31.271006629902097,F
15106,Pittsburgh,49.90198377702926,D
15108,Pittsburgh,42.60630035133848,D
15110,Pittsburgh,41.87449977114382,D
15112,Pittsburgh,43.47227156103928,D
15120,Pittsburgh,44.14915813816586,D
15122,Pittsburgh,43.74502434004428,D
15126,Pittsburgh,37.51297851649501,D
15129,Pittsburgh,36.62784614099741,D
15131,Pittsburgh,45.93385073300653,D
15132,Pittsburgh,46.02457949727898,D
15133,Pittsburgh,35.88509303200602,D
15135,Pittsburgh,36.04509919692443,D
15136,Pittsburgh,37.24899358919285,D
15137,Pittsburgh,44.96989877463891,D
15142,Pittsburgh,36.79122011144689,D
15143,Pittsburgh,49.41511670542472,D
15144,Pittsburgh,35.773877380090624,D
15145,Pittsburgh,35.75933851145105,D
15146,Pittsburgh,43.857386400651876,D
15147,Pittsburgh,42.5756616673732,D
15148,Pittsburgh,37.14659996443785,D
15201,Pittsburgh,57.16917849604554,C
15203,Pittsburgh,68.03051573936766,B
15204,Pittsburgh,45.44453991571185,D
15207,Pittsburgh,38.69926918935632,D
15208,Pittsburgh,39.6687039543595,D
15209,Pittsburgh,39.07220897719794,D
15210,Pittsburgh,40.85822988121612,D
15211,Pittsburgh,57.56030300815083,C
15212,Pittsburgh,50.560168592725574,C
15213,Pittsburgh,55.86628880893543,C
15214,Pittsburgh,36.493377338811634,D
15215,Pittsburgh,42.398794347179845,D
15216,Pittsburgh,54.173972570442196,C
15218,Pittsburgh,52.21588822385064,C
15219,Pittsburgh,54.06640179868326,C
15220,Pittsburgh,52.918682721022485,C
15221,Pittsburgh,42.528913039642006,D
15222,Pittsburgh,53.677823924735115,C
15223,Pittsburgh,43.776583807653374,D
15224,Pittsburgh,69.24981257170317,B
15225,Pittsburgh,34.76670677004727,F
15226,Pittsburgh,59.43375450810597,C
15227,Pittsburgh,42.916775571417844,D
15228,Pittsburgh,57.341984257274056,C
15232,Pittsburgh,74.27749877872962,B
15233,Pittsburgh,49.149562147815146,D
15234,Pittsburgh,51.742652396501356,C
15235,Pittsburgh,43.02258538338168,D
15236,Pittsburgh,51.73028085842955,C
15237,Pittsburgh,50.2889040284919,C
15238,Pittsburgh,39.300845742619714,D
15239,Pittsburgh,42.38525183828686,D
15241,Pittsburgh,42.88703133201827,D
15243,Pittsburgh,41.279944640391705,D
15321,Pittsburgh,25.957636788754577,F
15642,Pittsburgh,34.09447027603646,F
15668,Pittsburgh,39.20347392369395,D
16046,Pittsburgh,54.59846083746914,C
16055,Pittsburgh,34.00115530292791,F
16059,Pittsburgh,33.86728660238866,F
15003,Pittsburgh,31.538044674347447,F
15025,Pittsburgh,37.236578954250206,D
15028,Pittsburgh,47.986045017758634,D
15056,Pittsburgh,47.91906378073719,D
15084,Pittsburgh,34.371210425450386,F
15085,Pittsburgh,33.27706161571333,F
15086,Pittsburgh,50.58038464040014,C
15116,Pittsburgh,46.152422764582276,D
15139,Pittsburgh,37.786618341402246,D
15140,Pittsburgh,31.58417500197652,F
15202,Pittsburgh,57.20500659297884,C
15205,Pittsburgh,51.00795724736881,C
15206,Pittsburgh,49.60715504349217,D
15217,Pittsburgh,66.20216361300396,B
15229,Pittsburgh,55.59137748038181,C
15332,Pittsburgh,26.60522910181904,F
85003,Phoenix,26.04020806230481,F
85004,Phoenix,27.538265164695666,F
85006,Phoenix,26.414592773050074,F
85007,Phoenix,18.688983103514907,F
85008,Phoenix,39.74276536297556,D
85009,Phoenix,33.62244689480806,F
85012,Phoenix,36.97866671271855,D
85013,Phoenix,50.718069796443686,C
85014,Phoenix,32.743026017582835,F
85015,Phoenix,48.54684071425475,D
85016,Phoenix,43.39099441986296,D
85018,Phoenix,44.939001898472696,D
85019,Phoenix,33.8703712500342,F
85020,Phoenix,34.50061087560222,F
85021,Phoenix,42.66732450220536,D
85022,Phoenix,39.18849685270008,D
85023,Phoenix,36.89089930365327,D
85024,Phoenix,36.24041891605923,D
85027,Phoenix,33.675480726297565,F
85028,Phoenix,35.642635706699465,D
85029,Phoenix,32.95487154362953,F
85031,Phoenix,29.522561347669775,F
85033,Phoenix,37.7777513655946,D
85034,Phoenix,20.44796503132923,F
85035,Phoenix,32.54118348639825,F
85040,Phoenix,28.612530955200647,F
85041,Phoenix,30.448129151840355,F
85042,Phoenix,35.26516503272572,D
85043,Phoenix,30.307759202229683,F
85044,Phoenix,45.86330595006577,D
85045,Phoenix,30.119064049459492,F
85048,Phoenix,37.586615048103006,D
85050,Phoenix,28.423579139725497,F
85053,Phoenix,44.671317300618,D
85054,Phoenix,28.649806246141416,F
85083,Phoenix,30.830721288858573,F
85085,Phoenix,39.095608144409326,D
85086,Phoenix,28.956878178318405,F
85087,Phoenix,25.10696308909864,F
85120,Phoenix,23.451550363188186,F
85139,Phoenix,13.443396907088047,F
85142,Phoenix,27.96282814314133,F
85201,Phoenix,32.29950391040248,F
85202,Phoenix,50.25681750275457,C
85203,Phoenix,35.78264089120164,D
85205,Phoenix,35.61406116059574,D
85206,Phoenix,38.692993804167195,D
85207,Phoenix,29.488901117890613,F
85208,Phoenix,32.78466533518886,F
85209,Phoenix,34.557824560003915,F
85210,Phoenix,37.60390233868843,D
